kedb_parent_name,kedb_child_name,app_name,old_kedb,new_symtom_kedb,new_specific_symtom_kedb,kedb_finalisasi,action,responsibility_action,sop
,,DSC,,,,[]DSC[]Tidak_bisa_KIP_Service_provider_unreachable[]Cek_/scrt/esb/v1/kip[]Complaint,,,
,,DSC,,,,[]DSC[]Transferbalance_CheckProfile[]ValidateProfile[]Complaint,,,
,,DSC,,,,[]DSC[]TransferBalance_Failed[]Kendala_Transfer_Balance[]Complaint,,,
,,DSC,,,,[]DSC[]TransferPulsa_CheckHistory[]CheckMenuIndira_ProvideData[]Complaint,,,
,,DSC,,,,[]DSC[]Transaksi_Failed_Cashier[]Validate_Log[]Complaint,,,
,,IKNOW,,,,[]IKNOW[]Missed_Assigned[]Check_Result_Not_Found[]Complaint,,,
,,IKNOW,,,,[]IKNOW[]Provide_Data[]Request_Provide_Data_Report[]Request,,,
,,IKNOW,,,,[]IKNOW[]Undefined[]Request_Provide_Data_Report[]Complaint,,,
,,MEA,,,,"[]MEA[]Add Offer_Order_inprogress[]MASS_ACTIVATION_FULLPRODUCT_Cek_External_Mass_ID[]Complaint",,,
,,MEA,,,,"[]MEA[]Add Offer_Order_inprogress[]MASS_ACTIVATION_FULLPRODUCT_cek_filename[]Complaint",,,
,,MEA,,,,"[]MEA[]Add Offer_Order_inprogress[]MASS_CREATE_BILLING_PROFILE[]Complaint",,,
,,MEA,,,,[]MEA[]Add_Offer_Order_Failed[]MASS_ACTIVATION_FULLPRODUCT_Cek_External_Mass_ID[]Complaint,,,
,,MEA,,,,[]MEA[]Bookpayment_Gagal[]Virtual_Account[]Complaint,,,
,,MEA,,,,[]MEA[]Cek_Billing_Mode[]Customer_Profile[]Complaint,,,
,,MEA,,,,[]MEA[]Cek_History_Order[]Order_MEC[]Complaint,,,
,,MEA,,,,[]MEA[]Cek_Order_Complete[]Order_PSB[]Complaint,,,
,,MEA,,,,[]MEA[]Cek_Order_Failed[]Order_ADD[]Complaint,,,
,,MEA,,,,[]MEA[]Cek_order_FRA[]Kendala_aktivasi_order_FRA[]Complaint,,,
,,MEA,,,,[]MEA[]ChangeOwnership_Failed[]Mass_Transfer_Balance_to_FA_TEMPORARY[]Complaint,,,
,,MEA,,,,[]MEA[]Detail_List_Service_MEC_Tidak_Tampil[]Cek_List_Service_MEC[]Complaint,,,
,,MEA,,,,[]MEA[]Detail_Order_Tidak_Tampil[]Cek_Order_MEC[]Complaint,,,
,,MEA,,,,[]MEA[]Gagal_Aktivasi_Offer_Something_Went_Wrong[]Cek_Log_Aktivasi_Offer[]Complaint,,,
,,MEA,,,,[]MEA[]Gagal_Aktivasi_VA[]Virtual_Account[]Complaint,,,
,,MEA,,,,[]MEA[]Gagal_ChangeOwnership[]ValidateLogtoSurrounding[]Complaint,,,
,,MEA,,,,[]MEA[]Gagal_Upload_Msisdn_PSB[]Some_MSISDN_InProgress[]Complaint,,,
,,MEA,,,,[]MEA[]Issue_No_internet_connection[]Login_MEA[]Complaint,,,
,,MEA,,,,[]MEA[]Issue_Stuck_Order_File_Not_Pickup[]Cek_Filename_toESB[]Complaint,,,
,,MEA,,,,[]MEA[]Kendala_Login_L2[]Tidak_Menerima_OTP_MEC[]Complaint,,,
,,MEA,,,,[]MEA[]Kendala_Tagihan_MEC[]Cek_Tagihan_MEC[]Complaint,,,
,,MEA,,,,[]MEA[]Mass_Contact_Management_Failed[]Mandatory_Parameter_Cannot_Null[]Complaint,,,
,,MEA,,,,[]MEA[]Mass_Postpaid_Activation_Order_Failed[]MASS_INDIVIDUAL_ACTIVATION_Cek_External_Mass_ID[]Complaint,,,
,,MEA,,,,[]MEA[]Mass_Postpaid_Activation_Order_inprogress[]MASS_ACTIVATION_FULLPRODUCT_Cek_External_Mass_ID[]Complaint,,,
,,MEA,,,,[]MEA[]Mass_Postpaid_Activation_Order_inprogress[]MASS_ACTIVATION_SHELL_PRODUCT[]Complaint,,,
,,MEA,,,,[]MEA[]Mass_Postpaid_Activation_Order_inprogress[]MASS_CREATE_BILLING_PROFILE[]Complaint,,,
,,MEA,,,,[]MEA[]Mass_Postpaid_Activation_Order_inprogress[]MASS_INDIVIDUAL_ACTIVATION_Cek_External_Mass_ID[]Complaint,,,
,,MEA,,,,[]MEA[]Mass_Postpaid_Activation_Order_inprogress[]MASS_UMB_BLOCK[]Complaint,,,
